web_scraper_order,web_scraper_start_url,autres_animaux,nom,prix,adresse,image
"1771238002-1","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/profil/ead90ba3-5036-41ec-b4ca-29c7178b2a1f"
"1771238002-2","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/profil/ead90ba3-5036-41ec-b4ca-29c7178b2a1f"
"1771238002-3","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perroquets-perruches-ondulees-5560070"
"1771238002-4","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perroquet-perruches-ondulees-5138284"
"1771238002-5","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-5103176"
"1771238002-6","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-4331659"
"1771238002-7","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruche-4236158"
"1771238002-8","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruche-ondulee-3243586"
"1771238002-9","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-ondulees-3215371"
"1771238002-10","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/perruches-751123","Perroquets perruches ondulées","25 000 CFA","Point E, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/perruches-2296024"
