web_scraper_order,web_scraper_start_url,chiens,nom,prix,adresse,adress,image
"1771236906-1","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","Prix sur demande","Yoff, Dakar, Sénégal","Dakar, Sénégal","https://sn.coinafrique.com/profil/05cc1541-5965-4150-b759-027d47538fd7"
"1771236906-2","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","Prix sur demande","Yoff, Dakar, Sénégal","Dakar, Sénégal","https://sn.coinafrique.com/profil/05cc1541-5965-4150-b759-027d47538fd7"
"1771236906-3","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","Prix sur demande","Yoff, Dakar, Sénégal","Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530"
"1771236909-4","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/profil/d491d96e-225b-45f4-9f60-23989522059d"
"1771236909-5","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/profil/d491d96e-225b-45f4-9f60-23989522059d"
"1771236909-6","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716"
"1771236909-7","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/vente-chiot-pittbull-femelle-4351149"
"1771236909-8","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4332159"
"1771236909-9","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-4327552"
"1771236909-10","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-male-3828012"
"1771236909-11","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-pittbull-3742224"
"1771236909-12","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-3742171"
"1771236909-13","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-3675795"
"1771236909-14","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3226832"
"1771236909-15","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pittbull-3185241"
"1771236909-16","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-pitbull-3183820"
"1771236909-17","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","Yoff, Dakar, Sénégal","Grand Yoff, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiots-pittbull-male-3182211"
"1771236911-18","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Yoff, Dakar, Sénégal","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/profil/458531cf-930d-4647-bb7a-04188b780eba"
"1771236911-19","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Yoff, Dakar, Sénégal","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/profil/458531cf-930d-4647-bb7a-04188b780eba"
"1771236911-20","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Yoff, Dakar, Sénégal","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455"
"1771236911-21","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Yoff, Dakar, Sénégal","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558"
"1771236911-22","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Yoff, Dakar, Sénégal","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chiot-caniche-bichon-4117078"
"1771236911-23","https://sn.coinafrique.com/categorie/chiens?page=11","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichons maltais","190 000 CFA","Yoff, Dakar, Sénégal","Mermoz-Sacré Coeur, Dakar, Sénégal","https://sn.coinafrique.com/annonce/chiens/chien-3287244"
