web_scraper_order,web_scraper_start_url,poules-lapins-et-pigeons,nom,prix,adresse,image
"1771235341-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/profil/09c696e3-e8f4-4a4c-b8ea-de0eeae94d03"
"1771235341-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/profil/09c696e3-e8f4-4a4c-b8ea-de0eeae94d03"
"1771235341-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253"
"1771235341-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-4244917"
"1771235341-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereau-4195833"
"1771235341-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-3520760"
"1771235341-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-3187687"
"1771235341-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-3665205"
"1771235341-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereau-geant-fauve-4134335"
"1771235341-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapereaux-fauve-1261253","Lapereaux fauve","Prix sur demande","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/couple-lapereau-fauve-de-bourgogne-4751808"
